2.623,01/03/1981
-1.139,01/04/1981
-0.699,01/05/1981
1.401,01/06/1981
-0.683,01/07/1981
-0.58,01/08/1981
0.55,01/09/1981
1.888,01/10/1981
-1.944,01/11/1981
0.349,01/12/1981
-0.616,01/01/1982
-2.145,01/02/1982
-0.166,01/03/1982
-2.027,01/04/1982
1.03,01/05/1982
0.266,01/06/1982
-0.832,01/07/1982
0.26,01/08/1982
2.74,01/09/1982
1.061,01/10/1982
-0.747,01/11/1982
3.007,01/12/1982
3.956,01/01/1983
-0.247,01/02/1983
2.362,01/03/1983
2.432,01/04/1983
2.004,01/05/1983
-0.649,01/06/1983
0.661,01/07/1983
-0.44,01/08/1983
0.602,01/09/1983
-0.505,01/10/1983
-3.323,01/11/1983
-0.812,01/12/1983
2.741,01/01/1984
-0.597,01/02/1984
-1.097,01/03/1984
-1.093,01/04/1984
0.549,01/05/1984
-1.553,01/06/1984
-1.771,01/07/1984
-1.236,01/08/1984
1.31,01/09/1984
2.351,01/10/1984
-0.524,01/11/1984
-1.274,01/12/1984
-3.8,01/01/1985
-6.913,01/02/1985
-1.226,01/03/1985
0.952,01/04/1985
2.023,01/05/1985
-1.434,01/06/1985
-0.4,01/07/1985
0.787,01/08/1985
-0.619,01/09/1985
-1.141,01/10/1985
-1.306,01/11/1985
2.126,01/12/1985
2.345,01/01/1986
-2.744,01/02/1986
-0.062,01/03/1986
2.452,01/04/1986
1.705,01/05/1986
0.159,01/06/1986
-0.836,01/07/1986
1.404,01/08/1986
0.686,01/09/1986
-0.797,01/10/1986
-1.27,01/11/1986
-1.953,01/12/1986
-2.706,01/01/1987
-0.098,01/02/1987
-4.939,01/03/1987
-1.15,01/04/1987
-1.176,01/05/1987
0.506,01/06/1987
2.169,01/07/1987
-1.427,01/08/1987
2.178,01/09/1987
-0.708,01/10/1987
0.538,01/11/1987
-0.116,01/12/1987
3.726,01/01/1988
1.504,01/02/1988
0.355,01/03/1988
-0.985,01/04/1988
0.308,01/05/1988
-0.401,01/06/1988
2.189,01/07/1988
1.055,01/08/1988
0.201,01/09/1988
-1.145,01/10/1988
-5.637,01/11/1988
-0.198,01/12/1988
2.185,01/01/1989
3.472,01/02/1989
3.565,01/03/1989
3,01/04/1989
-0.532,01/05/1989
-1.255,01/06/1989
-0.155,01/07/1989
0.727,01/08/1989
-0.372,01/09/1989
0.294,01/10/1989
-1.747,01/11/1989
0.421,01/12/1989
1.113,01/01/1990
4.494,01/02/1990
4.757,01/03/1990
0.518,01/04/1990
0.143,01/05/1990
-0.302,01/06/1990
0.26,01/07/1990
0.472,01/08/1990
-1.184,01/09/1990
0.725,01/10/1990
1.778,01/11/1990
0.423,01/12/1990
2.254,01/01/1991
-2.113,01/02/1991
1.616,01/03/1991
-0.738,01/04/1991
-2.267,01/05/1991
0.259,01/06/1991
0.952,01/07/1991
-0.386,01/08/1991
0.351,01/09/1991
0.014,01/10/1991
0.046,01/11/1991
-3.182,01/12/1991
1.022,01/01/1992
0.468,01/02/1992
