t_chg,date,tavg,tmin,tmax
1.909,01/07/2009,23.2,15.7,30.4
1.601,01/08/2009,22.2,14.9,30.4
1.68,01/09/2009,17.5,11.1,26.1
0.918,01/10/2009,11.2,7.0,17.3
1.988,01/11/2009,6.7,2.4,12.6
0.822,01/12/2009,0.7,-2.4,4.8
-0.305,01/01/2010,-3.6,-7.1,1.0
1.086,01/02/2010,-0.5,-3.8,4.1
1.162,01/03/2010,4.7,0.0,11.0
0.949,01/04/2010,11.5,5.1,18.3
1.213,01/05/2010,16.4,9.4,23.9
1.133,01/06/2010,21.1,14.6,27.5
1.929,01/07/2010,22.8,16.5,30.1
2.976,01/08/2010,23.5,16.3,32.4
0.175,01/09/2010,16.8,10.9,24.9
-2.149,01/10/2010,8.0,4.0,14.2
4.476,01/11/2010,9.5,5.0,15.8
-0.749,01/12/2010,-0.7,-4.1,4.2
1.081,01/01/2011,-2.4,-5.5,2.1
-0.809,01/02/2011,-2.5,-6.4,2.5
0.865,01/03/2011,4.5,-0.9,11.8
0.418,01/04/2011,10.2,3.4,17.1
0.612,01/05/2011,15.8,8.8,23.5
1.159,01/06/2011,20.7,13.9,27.2
1.381,01/07/2011,23.2,15.9,30.4
1.652,01/08/2011,22.0,14.8,29.9
3.21,01/09/2011,19.6,12.6,28.4
-0.823,01/10/2011,9.2,4.0,16.9
-2.541,01/11/2011,2.7,-1.7,8.3
2.107,01/12/2011,2.6,-0.7,6.8
1.134,01/01/2012,-1.6,-5.4,3.4
-5.22,01/02/2012,-6.5,-11.1,-1.6
1.742,01/03/2012,5.4,-2.2,12.6
2.425,01/04/2012,13.7,6.3,20.9
1.839,01/05/2012,17.4,11.7,23.5
2.869,01/06/2012,22.7,14.6,29.3
4.372,01/07/2012,26.6,17.9,34.4
2.83,01/08/2012,23.2,15.0,32.2
2.93,01/09/2012,18.7,11.8,27.3
2.472,01/10/2012,12.9,6.5,20.7
1.923,01/11/2012,6.7,2.0,12.3
-1.588,01/12/2012,-1.4,-5.3,2.3
1.764,01/01/2013,-1.5,-5.3,2.7
2.789,01/02/2013,2.4,-0.8,6.0
0.066,01/03/2013,4.8,-0.3,10.2
2.365,01/04/2013,13.4,6.0,20.1
2.64,01/05/2013,18.7,10.1,26.4
1.452,01/06/2013,21.5,14.4,28.0
1.02,01/07/2013,22.7,14.3,29.9
2.347,01/08/2013,23.5,15.8,31.0
-0.839,01/09/2013,16.2,8.7,23.8
1.118,01/10/2013,10.7,5.4,17.9
2.865,01/11/2013,7.9,3.6,12.8
0.118,01/12/2013,-0.4,-4.4,3.6
3.608,01/01/2014,-0.6,-3.1,2.1
3.19,01/02/2014,1.4,-2.2,6.6
4.336,01/03/2014,8.6,2.2,14.8
1.379,01/04/2014,11.5,6.0,16.9
0.447,01/05/2014,16.0,8.9,22.3
0.084,01/06/2014,19.4,13.5,25.2
1.248,01/07/2014,22.4,15.8,29.3
1.476,01/08/2014,22.7,15.1,30.8
1.064,01/09/2014,17.4,10.6,25.4
0.672,01/10/2014,10.7,5.8,16.6
0.592,01/11/2014,5.0,2.8,7.9
1.313,01/12/2014,0.9,-2.2,4.1
2.896,01/01/2015,-0.2,-4.8,3.4
1.568,01/02/2015,2.5,-2.0,6.4
1.706,01/03/2015,6.7,1.3,11.8
0.035,01/04/2015,12.1,3.8,18.2
1.624,01/05/2015,18.8,10.8,24.6
1.107,01/06/2015,21.5,13.3,27.5
2.766,01/07/2015,25.5,16.2,32.2
3.019,01/08/2015,24.3,15.5,31.0
2.871,01/09/2015,20.2,13.0,26.1
-0.023,01/10/2015,11.4,6.2,16.1
2.287,01/11/2015,8.6,2.1,13.9
2.728,01/12/2015,3.8,-1.0,8.4
0.546,01/01/2016,-2.8,-8.1,1.3
6.388,01/02/2016,6.7,1.3,12.0
2.814,01/03/2016,8.2,2.4,13.1
3.148,01/04/2016,14.8,6.8,21.1
0.174,01/05/2016,16.3,9.3,22.3
2.283,01/06/2016,23.0,15.4,28.7
1.941,01/07/2016,24.6,15.7,31.2
1.504,01/08/2016,23.6,16.0,30.4
2.086,01/09/2016,19.6,11.1,26.6
-1.124,01/10/2016,10.3,5.8,14.4
-0.429,01/11/2016,5.9,1.3,10.0
-1.361,01/12/2016,0.2,-5.2,4.7
-2.68,01/01/2017,-4.6,-10.0,-0.3
2.201,01/02/2017,1.5,-3.9,6.2
4.436,01/03/2017,9.5,2.8,15.4
0.01,01/04/2017,11.2,3.1,18.2
0.828,01/05/2017,17.1,9.3,22.9
2.211,01/06/2017,23.0,14.7,28.6
1.553,01/07/2017,23.8,16.0,30.1
3.041,01/08/2017,24.7,15.6,31.8
1.498,01/09/2017,19.5,12.0,26.6
0.821,01/10/2017,12.4,4.6,18.9
0.881,01/11/2017,7.2,3.2,10.4
2.674,01/12/2017,3.9,-1.0,8.2
3.59,01/01/2018,1.5,-2.9,5.7
0.826,01/02/2018,1.6,-1.7,5.0
-0.213,01/03/2018,4.0,-1.1,8.8
5.036,01/04/2018,16.4,7.9,23.5
3.49,01/05/2018,19.8,11.4,26.3
2.061,01/06/2018,22.6,15.2,28.8
1.429,01/07/2018,22.9,16.4,28.9
3.264,01/08/2018,24.8,15.8,31.8
1.799,01/09/2018,19.5,11.2,26.9
2.816,01/10/2018,14.2,6.0,21.4
0.599,01/11/2018,5.3,1.9,8.8
-0.1,01/12/2018,0.3,-3.2,3.0
1.186,01/01/2019,-1.4,-5.3,2.0
3.258,01/02/2019,2.7,-2.8,9.6
3.932,01/03/2019,8.5,0.7,16.8
1.254,01/04/2019,10.9,4.7,17.2
0.421,01/05/2019,16.6,10.4,22.9
3.712,01/06/2019,22.7,16.0,29.5
1.167,01/07/2019,22.1,14.8,29.6
2.972,01/08/2019,23.0,14.6,32.1
1.903,01/09/2019,18.0,10.2,27.3
2.708,01/10/2019,12.0,6.2,20.4
4.379,01/11/2019,9.4,5.0,14.4
3.057,01/12/2019,3.4,-1.2,8.6
