t_chg,date,tavg,tmin,tmax
-0.249,01/01/1972,-2.5,-5.6,0.4
1.462,01/02/1972,0.6,-1.9,3.3
1.71,01/03/1972,6.1,-0.3,12.2
2.413,01/04/1972,14.1,8.1,20.8
0.469,01/05/1972,17.3,11.1,23.3
1.084,01/06/1972,22.1,14.7,28.2
0.962,01/07/1972,23.0,16.7,29.1
-0.316,01/08/1972,21.4,15.9,27.5
-2.192,01/09/1972,15.1,10.9,20.5
-2.39,01/10/1972,9.4,5.6,14.0
0.145,01/11/1972,3.2,2.4,11.0
0.012,01/12/1972,1.0,-1.7,3.6
0.016,01/01/1973,-2.6,-5.8,0.5
2.128,01/02/1973,2.4,-1.2,5.9
-1.161,01/03/1973,3.0,-0.8,7.0
-0.066,01/04/1973,11.8,6.0,17.4
0.493,01/05/1973,17.0,9.8,23.7
-0.731,01/06/1973,19.3,13.0,25.6
-0.076,01/07/1973,21.9,15.6,27.8
-0.833,01/08/1973,19.7,13.5,26.9
0.898,01/09/1973,18.3,10.9,25.0
-0.494,01/10/1973,11.4,4.0,18.2
-2.983,01/11/1973,3.5,-2.4,9.0
-1.38,01/12/1973,-1.3,-5.4,2.0
0.162,01/01/1974,-3.0,-7.0,0.0
3.46,01/02/1974,2.4,-0.4,6.3
1.708,01/03/1974,5.6,0.6,10.8
-1.882,01/04/1974,9.5,3.5,15.0
-1.286,01/05/1974,16.1,9.1,21.8
-1.455,01/06/1974,19.8,12.5,26.3
-1.118,01/07/1974,21.5,14.1,28.1
0.811,01/08/1974,22.7,15.1,28.9
0.835,01/09/1974,18.0,10.7,24.8
-0.027,01/10/1974,12.9,6.8,19.1
-1.095,01/11/1974,4.4,0.5,7.7
1.277,01/12/1974,1.8,-1.3,5.9
3.272,01/01/1975,1.1,-1.7,4.1
-0.3,01/02/1975,0.6,-4.0,4.9
3.458,01/03/1975,8.5,0.8,15.3
0.735,01/04/1975,12.6,6.4,19.0
1.572,01/05/1975,17.9,12.4,23.8
0.506,01/06/1975,21.2,15.1,26.9
0.158,01/07/1975,22.3,15.9,28.5
-0.441,01/08/1975,22.6,15.2,27.5
1.979,01/09/1975,20.0,11.6,27.5
-0.259,01/10/1975,11.7,5.9,17.2
-2.425,01/11/1975,3.5,-0.6,6.8
-0.324,01/12/1975,0.0,-3.1,3.7
1.073,01/01/1976,0.7,-3.6,5.0
-3.048,01/02/1976,-2.8,-7.0,0.9
-1.884,01/03/1976,3.9,-1.3,9.2
0.701,01/04/1976,12.0,5.4,18.5
-0.686,01/05/1976,16.8,8.4,23.1
-1.7,01/06/1976,19.3,11.9,24.8
-0.433,01/07/1976,22.2,14.4,27.8
-3.161,01/08/1976,18.1,12.6,23.8
-1.082,01/09/1976,16.3,9.5,22.6
-0.222,01/10/1976,10.9,6.0,14.4
0.888,01/11/1976,7.0,4.5,9.6
-0.022,01/12/1976,1.4,-2.1,4.5
1.323,01/01/1977,-0.8,-5.1,3.5
4.82,01/02/1977,5.3,0.5,9.9
2.835,01/03/1977,7.3,1.2,13.2
-0.708,01/04/1977,11.3,4.6,18.2
0.263,01/05/1977,16.8,10.0,23.2
-0.539,01/06/1977,19.6,13.2,26.6
-0.328,01/07/1977,22.6,15.0,29.7
-0.627,01/08/1977,21.4,14.5,29.2
-1.918,01/09/1977,16.0,10.0,22.8
-0.198,01/10/1977,11.0,2.9,18.6
1.361,01/11/1977,8.5,2.8,14.4
-2.835,01/12/1977,-2.5,-6.8,1.8
0.546,01/01/1978,-1.4,-6.0,3.0
-0.124,01/02/1978,-0.4,-3.4,2.7
1.715,01/03/1978,6.4,1.8,11.0
-0.513,01/04/1978,11.4,4.7,17.2
-1.537,01/05/1978,15.2,9.2,21.8
-0.835,01/06/1978,19.8,13.3,26.6
-1.438,01/07/1978,21.6,14.0,28.6
-1.604,01/08/1978,20.5,12.7,28.1
-1.627,01/09/1978,16.0,10.7,23.0
-0.074,01/10/1978,11.8,5.4,18.8
-1.765,01/11/1978,4.2,-0.6,9.4
-0.011,01/12/1978,0.7,-2.6,4.0
0.013,01/01/1979,-2.2,-7.4,2.0
0.406,01/02/1979,0.9,-3.9,3.8
2.632,01/03/1979,7.6,1.4,13.8
-0.984,01/04/1979,11.0,4.7,16.7
1.206,01/05/1979,17.8,10.8,23.8
1.942,01/06/1979,22.2,15.4,28.5
-1.909,01/07/1979,20.1,13.9,25.9
-0.934,01/08/1979,20.7,14.6,25.6
0.729,01/09/1979,18.1,10.9,24.9
-1.716,01/10/1979,9.2,4.0,14.4
0.346,01/11/1979,6.4,2.8,9.8
2.577,01/12/1979,3.5,-0.5,6.9
-2.389,01/01/1980,-4.1,-9.3,-1.1
-0.024,01/02/1980,-2.0,-3.2,2.6
-0.908,01/03/1980,3.0,-0.8,7.0
-1.605,01/04/1980,10.5,4.8,16.0
-1.925,01/05/1980,14.5,9.5,20.4
-0.819,01/06/1980,19.8,13.1,26.2
-0.761,01/07/1980,21.9,14.5,28.6
-1.082,01/08/1980,20.8,13.8,26.9
-1.142,01/09/1980,16.6,9.3,23.0
1.125,01/10/1980,13.1,6.7,19.7
-0.833,01/11/1980,5.0,0.9,8.7
-0.292,01/12/1980,0.6,-2.8,3.7
-0.802,01/01/1981,-1.2,-4.7,1.7
0.092,01/02/1981,1.5,-3.6,3.6
2.623,01/03/1981,7.4,2.1,12.5
-1.139,01/04/1981,10.4,3.4,16.4
-0.699,01/05/1981,15.2,8.6,21.3
1.401,01/06/1981,22.0,14.7,28.9
-0.683,01/07/1981,21.3,14.6,28.0
-0.58,01/08/1981,21.1,13.6,28.4
0.55,01/09/1981,17.3,11.7,23.8
